Country Name,Year,PM25,PrimarySchoolGross,LifeExpectancy,GDPperCap,ForestArea,EnergyUse,ExportofGnS,RenewableElectricty,WomenParliament,PopulationDensity,LivestockProduction
Aruba,2000,,,70.149,20681.0230269625,2.33333333333333,,74.3860109498193,0.0,,503.266666666667,
Africa Eastern and Southern,2000,26.783512771668,78.7628173828125,50.9944190253978,706.727260967009,39.1047528492012,635.550217773356,25.5466505570119,16.8361093422779,14.8003602521765,33.3035106646153,82.7522994368699
Afghanistan,2000,64.767279818427,21.4578495025635,53.463,174.930991430166,1.85278199408184,,,93.5373177008865,,30.8638471091486,98.12
Africa Western and Central,2000,62.5676107684837,80.5795135498047,49.2830974503234,518.969226054683,21.5952835465819,285.657322343808,,55.0480365637534,6.81514476614699,30.3974279719383,100.0
Angola,2000,23.5093420911103,,43.963,563.733795571487,62.3314430095452,428.222669261961,,62.3038062283737,15.4545454545455,12.9901892997513,67.62
Albania,2000,22.2651885663762,,71.804,1160.42047054038,28.0766423357664,581.374748988005,19.5304708980011,96.1490163248221,5.16129032258065,112.738211678832,80.43
Andorra,2000,16.2215988704827,,79.353,21810.2503808666,34.0425531914894,,,100.0,7.14285714285714,139.755319148936,
Arab World,2000,43.5064056239944,88.1032562255859,65.1035228590404,2664.12520122649,1.72240922488866,1309.74545597546,,4.55031105711622,3.77068103116583,25.5039700746683,82.7550075702242
United Arab Emirates,2000,44.1841482466495,,75.437,29865.502347066,4.35694170656153,8956.94929901911,,0.0,0.0,49.1914249507181,44.0
Argentina,2000,17.42603648416,116.558296203613,70.498,7637.01489203628,12.1964855354461,1643.32131961789,10.9863752325576,33.0317886599097,26.4591439688716,13.5981729753827,85.94
Armenia,2000,27.498645550379,90.6347198486328,70.1,593.450581742282,11.6838777660695,625.503227341883,22.1614188089398,21.1664988251091,3.05343511450382,113.140147523709,57.4
American Samoa,2000,6.78903031026655,,68.911,,88.65,,,0.0,,284.275,
Antigua and Barbuda,2000,18.9169541844098,135.142150878906,71.259,12027.4949768222,21.4772727272727,,,0.0,5.26315789473684,170.254545454545,246.16
Australia,2000,7.45743282688833,101.583541870117,76.6,21908.9968019784,17.1581557606446,5681.22885913159,19.356082688226,8.53855887053809,22.972972972973,2.47696679379873,91.36
Austria,2000,19.150573887216,101.86939239502,75.2,24487.2974685956,46.5116335433834,3570.94853169443,43.591091462861,73.1627895587443,26.775956284153,97.0863548230732,92.54
Azerbaijan,2000,19.773338223415,97.2074890136719,62.035,655.097249579917,11.9510925488772,1403.59874667104,40.1708314787732,8.20364725386384,,97.434779976999,51.76
Burundi,2000,30.3753381723827,59.2368316650391,45.335,134.537861752389,7.55218068535826,,,100.0,14.4067796610169,251.954595015576,56.72
Belgium,2000,19.4896989178456,102.907371520996,74.6,23098.8865077401,21.9991428477236,5662.98174716427,72.5473951580567,2.71746893300957,23.3333333333333,337.957010516599,97.3
Benin,2000,60.5959598706697,77.2928009033203,54.823,487.424141384242,36.6721355090458,274.581436432907,20.6053025489554,1.94047619047619,6.02409638554217,64.0441557289819,68.86
Burkina Faso,2000,62.3750808075926,42.8175315856934,49.32,248.908526921752,26.3760964912281,122.87633161526,8.8447174852677,25.1974358974359,8.10810810810811,43.5875219298246,63.65
Bangladesh,2000,53.2073315873939,,61.377,396.670730249751,14.7524629330875,135.945727032601,12.3442012279919,8.80736795383933,9.09090909090909,1033.6045478989,46.47
Bulgaria,2000,25.0224930451213,104.70467376709,68.2,1621.26210738992,30.507095724487,2276.85216577279,36.218856756011,7.21092757306226,10.8333333333333,73.8513242339329,188.44
Bahrain,2000,68.651142599615,98.8778915405273,73.591,14214.4836839343,0.52112676056338,12833.272118279,79.1806670285974,0.0,,898.002816901408,26.43
"Bahamas, The",2000,19.57806579485,,69.233,24940.0775086078,50.9350649350649,,38.0475628585261,0.0,15.0,32.3511488511488,70.09
Bosnia and Herzegovina,2000,36.8983152634642,,71.666,1338.48059636261,41.2431640625,1044.83032752066,21.883818745472,48.8445680314508,,81.24552734375,61.63
